csvbase_row_id,Datum,Förmiddag / Eftermiddag,Skola / Grupp,Klass,Art,Element,Del,Sida,Region,Antal fragment,Vikt (g),Mĺtt (mm),Fusionering,Tandslitage ,Ĺlder,Kön,Weathering,Trampling,Gnag,Eldpĺverkan,Slaktspĺr,Bearbetning,Patologi,Kommentar,Övrigt,col26
1,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Dens,M3-,Dexter,Tänder,1,"5,8",,,h,,,,,,,,,,Tredje molar frĺn fĺr/gets höger underkäke,,1
2,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Dens,M,,Tänder,1,"0,5",,,,,,,,,,,,,Molartandfragment frĺn fĺr/get,,2
3,2023-09-12,FM,Helgedalskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,3,"0,8",,,,,,,,,,,,,Obestämbara tandfragment,,3
4,2023-09-12,FM,Helgedalskolan,5A+B,Fĺr/get (Ovis/capra),Metacarpus,Proximal epifys,Sinister,Nedre extremitet,1,"1,4",,F,,,,,,,,,,,Övre fragment av vänster mellanhandsben frĺn vuxen fĺr/get,,4
5,2023-09-11,EM,Enebackeskolan,5C+D,Hjortdjur (Cervidae),Cornu,,,Huvud,1,"2,6",,,,,,1,,,,,Ja,,Bearbetat hornfragment frĺn hjortdjur,,5
6,2023-09-11,EM,Enebackeskolan,5C+D,Fĺr/get (Ovis/capra),"Cranium, cornu",,,Huvud,1,"0,7",,U,,,,,,,,,,,Hornfragment frĺn juvenil fĺr/get,,6
7,2023-09-11,EM,Enebackeskolan,5C+D,Däggdjur (Mammalia),Vertebra,Corpus,,Bĺl,1,"1,2",,,,,,,,,,H,,,"Kotfragment frĺn däggdjur, kapad",,7
8,2023-09-11,EM,Helgedalskolan,5A+B,Obestämd,Obestämd,,,Okänd,1,"1,9",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,8
9,2023-09-11,EM,Helgedalskolan,5A+B,Obestämd,Obestämd,,,Okänd,4,"1,7",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,9
10,2023-09-11,EM,Helgedalskolan,5A+B,Svin (Sus sp.),MC3,"Proximal epifys, prox. Diafys",Sinister,Nedre extremitet,1,"1,8",,F,,,,,,,W,,,,Vitbränt mellanhandsbenfragment frĺn svin,,10
11,2023-10-09,FM,Antonskolan Österäng,,Fĺr/get (Ovis/capra),Dens,M3-,Dexter,Tänder,1,"6,3",,,g,,,,,,,,,,Tredje molar frĺn fĺr/gets höger underkäke,,11
12,2023-10-09,FM,Antonskolan Österäng,,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,3",,,,,,,,,,,,,Obestämbart tandfragment,,12
13,2023-10-09,FM,Antonskolan Österäng,,Obestämd,Obestämd,,,Okänd,2,"1,5",,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,13
14,2023-10-09,FM,Antonskolan Österäng,,Obestämd,Obestämd,,,Okänd,1,"1,4",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,14
15,2023-10-09,FM,Antonskolan Österäng,,Nötkreatur (Bos taurus),Phalange distale,Komplett,,Nedre extremitet,1,"14,2","DSL 61,77; Ld 46,95; MBS 18,56",F,,,,,,,,,,,Tredje falang frĺn vuxen nötkreatur,,15
16,2023-10-09,FM,Antonskolan Österäng,,Fĺr/get (Ovis/capra),Phalange intermedia,"Diafys, distal epifys",,Nedre extremitet,1,1,,U,,< 13-16 mĺ,,1,,,,,,,Andra falang frĺn juvenil fĺr/get,,16
17,2023-04-24,FM,Backaskolan,5S+Z,Obestämd,Obestämd,,,Okänd,6,"2,3",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,17
18,2023-04-24,FM,Backaskolan,5S+Z,Obestämd,Obestämd,,,Okänd,1,"0,9",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,18
19,2023-04-24,FM,Backaskolan,5S+Z,Obestämd,Obestämd,,,Okänd,1,"0,5",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,19
20,2023-04-24,FM,Backaskolan,5S+Z,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,1",,,,,,,,,G,,,,"Grĺbränt tandfragment, okänd art",,20
21,2023-04-24,FM,Backaskolan,5S+Z,Fĺr/get (Ovis/capra),Phalange proximale,"Proximal epifys, diafys",,Nedre extremitet,1,1,,F,,> 13-16 mĺ,,,,,W,,,,Vitbränt distal falangfragment frĺn fĺr/get,,21
22,2023-04-25,FM,Ölyckeskolan,5A+B,Obestämd,Obestämd,,,Okänd,1,"0,1",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,22
23,2023-04-25,FM,Ölyckeskolan,5A+B,Fĺr/get (Ovis/capra),Tibia,Distal epifys,Sinister,Övre extremitet,1,"1,8",,U,,"< 1,5-2 ĺr",,,,,,,,,"Distal epifys frĺn fĺr/get, yngre än 1,5-2 ĺr",,23
24,2023-04-25,FM,Ölyckeskolan,5A+B,Svin (Sus sp.),Dens,I2-,Dexter,Tänder,1,1,,,,,,,,,,,,,Andra framtanden frĺn svins högra underkäke,,24
25,2023-04-25,FM,Ölyckeskolan,5A+B,Svin (Sus sp.),Dens,M,,Tänder,1,"0,4",,,,,,,,,,,,,Molartandfragment frĺn svin,,25
26,2023-04-25,FM,Ölyckeskolan,5A+B,Svin (Sus sp.),Dens,Canine,,Tänder,1,"0,5",,,,,,,,,,,,,"Svinbetefragment, okänd sida, läge och kön",,26
27,2023-04-25,FM,Ölyckeskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,4,"0,7",,,,,,,,,,,,,Obestämbara tandfragment,,27
28,2023-04-17,FM,IES Hässleholm,5A,Obestämd,Obestämd,,,Okänd,3,"1,4",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,28
29,2023-04-17,FM,IES Hässleholm,5A,Svin (Sus sp.),Femur,Distal epifys,Sinister,Övre extremitet,1,"19,9",,U,,"< 3,5 ĺr",,,,,,,,,Nedre del av vänster lĺrben frĺn juvenil svin,,29
30,2023-04-17,FM,IES Hässleholm,5A,Fĺr/get (Ovis/capra),Axis,Dens axis,,Bĺl,1,"8,8",,,,,,,,,,,,,Främre del av andra halskotan frĺn fĺr/get,,30
31,2023-04-17,FM,IES Hässleholm,5A,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,3",,,,,,,,,,,,,Obestämbart tandfragment,,31
32,2023-04-17,FM,IES Hässleholm,5A,Nötkreatur (Bos taurus),Dens,I1-,Dexter,Tänder,1,"2,7",,,,,,,,,,,,,Nötkreaturs första framtanden frĺn höger underkäke,,32
33,2023-04-17,FM,IES Hässleholm,5A,Nötkreatur (Bos taurus),Dens,PM3-,Sinister,Tänder,1,"4,2",,,,,,,,,,,,,Tredje premolar frĺn nötkreaturs vänstra underkäke,,33
34,2023-04-17,FM,IES Hässleholm,5A,Svin (Sus sp.),Dens,dPM4-,Dexter,Tänder,1,"0,8",,,Inget slitage,Ej frambrutit,,,,,,,,,"Svin mjölktand, tredje främre kindtand, höger underkäke. Inget slitage, har ej brutit fram",,34
35,2023-04-17,FM,IES Hässleholm,5A,Svin (Sus sp.),Dens,I3-,Dexter,Tänder,1,"0,7",,,,,,,,,,,,,Tredje framtand frĺn svin höger underkäke,,35
36,2023-04-17,FM,IES Hässleholm,5A,Fĺr/get (Ovis/capra),Dens,dPM2+,Sinister,Tänder,1,"1,2",,,,,,,,,,,,,Andra mjölkpremolar frĺn fĺr/gets vänstra överkäke,,36
37,2023-04-17,FM,IES Hässleholm,5A,Nötkreatur (Bos taurus),Dens,M-,,Tänder,1,"3,8",,,,,,,,,,,,,Molarfragment frĺn nötkreatur,,37
38,2023-07-26,EM,Ark.utg.vuxna,,Obestämd,Obestämd,,,Okänd,7,"5,2",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,38
39,2023-07-26,EM,Ark.utg.vuxna,,Obestämd,Obestämd,,,Okänd,4,"1,6",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,39
40,2023-07-26,EM,Ark.utg.vuxna,,Obestämd,Obestämd,,,Okänd,1,"0,3",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,40
41,2023-07-26,EM,Ark.utg.vuxna,,Sork (Microtus),Mandibula,Corpus,,Huvud,1,"0,4",,,,,,,,,,,,,Vänster underkäke frĺn sork,,41
42,2023-07-08,EM,Ark.utg.familj,,Nötkreatur (Bos taurus),Phalange intermedia,Komplett,,Nedre extremitet,1,"18,5","GL 40,12; Bp 32,53; SD 26,42; Bd 26,06",Proximal: F; Distal: F,,"> 1,5ĺr",,,,,,,,,Andra falang frĺn nötkreatur,,42
43,2023-04-11,EM,Järnĺkraskolan,5A+B,Obestämd,Obestämd,,,Okänd,6,"3,1",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,43
44,2023-04-11,EM,Järnĺkraskolan,5A+B,Obestämd,Obestämd,,,Okänd,3,1,,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,44
45,2023-04-11,EM,Järnĺkraskolan,5A+B,Obestämd,Obestämd,,,Okänd,1,"0,6",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,45
46,2023-04-11,EM,Järnĺkraskolan,5A+B,Fĺr/get (Ovis/capra),Vertebrae caudalis,Corpus,,Bĺl,1,"0,6",,U,,,,,,,,,,,Svanskota frĺn lamm/killing,,46
47,2023-04-11,EM,Järnĺkraskolan,5A+B,Svin (Sus sp.),Dens,M3-,,Tänder,1,8,,,b,,,,,,,,,,"Tredje molar frĺn svin underkäke, kunde ej bestämma sida pga referensmaterialet",,47
48,2023-04-11,EM,Järnĺkraskolan,5A+B,Idisslare (Ruminantia),Dentes,,,Tänder,2,2,,,,,,,,,,,,,Tandfragment frĺn idisslare,,48
49,2023-04-11,EM,Järnĺkraskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,2,"0,9",,,,,,,,,,,,,"Obestämbara tandfragment, sannolikt svin men kan ej bekräfta",,49
50,2023-03-27,EM,Genarpskolan,11A,Nötkreatur (Bos taurus),Dens,M2-,Dexter,Tänder,1,"15,4",,,g,,,,,,,,,,Nötkreaturs andra molar frĺn höger underkäke,,50
51,2023-03-27,EM,Genarpskolan,11A,Svin (Sus sp.),Dens,I1-,Dexter,Tänder,1,"2,2",,,,,,,,,,,,,Första framtand frĺn svins höger underkäke,,51
52,2023-03-27,EM,Genarpskolan,11A,Fĺr/get (Ovis/capra),Dens,PM4-,Sinister,Tänder,1,"1,1",,,Inget slitage,Ej frambrutit,,,,,,,,,"Fjärde premolar frĺn fĺr/gets vänster underkäke. Inget slitage och saknar rot, har ej brutit fram",,52
53,2023-03-27,EM,Genarpskolan,11A,Hjortdjur (Cervidae),Dens,I1-,Sinister,Tänder,1,1,,,,,,,,,,,,,Första framtanden frĺn hjortdjurs vänster underkäke. Sannolikt kron- eller dovhjort,,53
54,2023-03-27,EM,Genarpskolan,11A,Nötkreatur (Bos taurus),Carpalia II-III,Komplett,Sinister,Nedre extremitet,1,"17,3",,F,,,,,,,,,,,"Handlovsben frĺn vuxen nötkreatur, vänster sida",,54
55,2023-09-20,FM,Hasslarödskolan,,Obestämd,Obestämd,,,Okänd,3,"0,8",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,55
56,2023-09-20,FM,Hasslarödskolan,,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,2",,,,,,,,,,,,,Obestämd tandfragment,,56
57,2023-09-20,FM,Hasslarödskolan,,Svin (Sus sp.),Dens,PM3+,Dexter,Tänder,1,1,,,,,,,,,,,,,Tredje premolar frĺn svins högra överkäke,,57
58,2023-09-20,FM,Hasslarödskolan,,Svin (Sus sp.),Phalange distale,Komplett,,Nedre extremitet,1,"0,4",,,,,,,,,,,,,"Tredje falang frĺn svin, kulting",,58
59,2023-03-27,FM,Sätoftaskolan,5A,Obestämd,Obestämd,,,Okänd,2,"1,4",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,59
60,2023-03-27,FM,Sätoftaskolan,5A,Fĺr/get (Ovis/capra),Costa,Corpus,,Bĺl,1,"0,8",,,,,,,,,,,,,Revbenfragment frĺn fĺr/get,,60
61,2023-03-27,FM,Sätoftaskolan,5A,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,4,"62,6",,,,,,,,,,,,,Obestämbara rörben frĺn stort däggdjur,,61
62,2023-03-27,FM,Sätoftaskolan,5A,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"5,7",,,,,,,,,,,,,Obestämbart fragment frĺn däggdjur,,62
63,2023-05-16,FM,Tyringe skola,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"3,1",,,,,,,,,,,Ja,,Bearbetat benfragment frĺn däggdjur,,63
64,2023-05-16,FM,Tyringe skola,5A+B,Däggdjur (Mammalia),Femur,,,Övre extremitet,1,"16,4",,,,,,,,,,,,,Lĺrbensfragment frĺn obestämd art. Stort däggdjur,,64
65,2023-05-16,FM,Tyringe skola,5A+B,Däggdjur (Mammalia),Scapula,,,Övre extremitet,1,6,,,,,,,,,,C,,,"Skulderbladsfragment frĺn däggdjur, okänd art. Skärspĺr",,65
66,2023-05-16,FM,Tyringe skola,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"19,2",,F,,,,2,,,B,,,,Ojämt svartbränt obestämd fragment frĺn okänd art,Möjligt bestämbar,66
67,2023-05-16,FM,Tyringe skola,5A+B,Utter (Lutra lutra),Coxae,"Ilium, Ischium",Dexter,Övre extremitet,1,2,,U,,,,,,,,,,,"Höftbensfragment frĺn utter. Ung individ, övre del av höftbenet är ej fusterat (crista iliaca)",,67
68,2023-10-24,FM,Silviaskolan,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"1,5",,,,,,,,,G,,,,Vitgrĺbränt fragment. Okänd art. Sannolikt hand/fotlovsben baserat pĺ antal ledytor,,68
69,2023-07-28,EM,Ark.utg.familj,,Fĺr/get (Ovis/capra),Tarsalia II-III,Komplett,Sinister,Nedre extremitet,1,"0,3",,,,,,,,,B,,,,"Fotrotsben frĺn fĺr/get, juvenil individ. Lätt eldpĺverkad, svart",,69
70,2023-07-28,EM,Ark.utg.familj,,Nötkreatur (Bos taurus),Phalange intermedia,Komplett,,Nedre extremitet,1,"10,8","GL 34,95; Bp 23,51; SD 19,34; Bd 19,84",Proximal: F; Distal: F,,> 13-16 ĺr,,,,,,,,,Andra falang frĺn nötkreatur,,70
71,2023-07-28,EM,Ark.utg.familj,,Nötkreatur (Bos taurus),Tibia,Malleolus medialis,Sinister,Övre extremitet,1,10,,F,,"> 2-2,5 ĺr",,1,,,,,,,"Nedre del av nötkreaturs vänstra skenben, fotknölen.",,71
72,2023-07-28,EM,Ark.utg.familj,,Nötkreatur (Bos taurus),Metacarpus,Anterio-proximal,Dexter,Nedre extremitet,1,"8,1",,F,,,,,,,,,,,Övre-främre del av nötkreaturs mellanhandsben,,72
73,2023-07-28,EM,Ark.utg.familj,,Tamgĺs (Anser anser),Coracoideum,Distal,Sinister,Övre extremitet,1,"2,3",,F,,,,,,,,,,,Korpbensfragment (del av skuldergördeln) frĺn gĺs,,73
74,2023-07-28,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,6,"13,7",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,74
75,2023-07-28,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,3,"1,5",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,75
76,2023-07-28,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,2,"0,3",,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,76
77,2023-07-28,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,2,1,,,,,,,,,R,,,,"Rödbrunbränt fragment, okänd art",,77
78,2023-07-28,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,4,"2,2",,,,,,,,,Y,,,,"Gulbrända fragment, okänd art",,78
79,2023-07-28,EM,Ark.utg.familj,,Svin (Sus sp.),Dens,M,,Tänder,1,"0,5",,,,,,,,,,,,,Molartandfragment frĺn svin,,79
80,2023-07-28,EM,Ark.utg.familj,,Däggdjur (Mammalia),Dentes,,,Tänder,4,"1,2",,,,,,,,,,,,,Obestämbara tandfragment,,80
81,2023-07-28,EM,Ark.utg.familj,,Idisslare (Ruminantia),Dens,,,Tänder,1,"1,3",,,,,,,,,,,,,Tandfragment frĺn idisslare,,81
82,2023-10-23,FM,Waldorfskolan,,Obestämd,Obestämd,,,Okänd,3,"2,2",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,82
83,2023-10-23,FM,Waldorfskolan,,Obestämd,Obestämd,,,Okänd,3,"1,2",,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,83
84,2023-10-23,FM,Waldorfskolan,,Obestämd,Obestämd,,,Okänd,4,"0,7",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,84
85,2023-10-23,EM,Apelskolan,,Obestämd,Obestämd,,,Okänd,3,"0,4",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,85
86,2023-10-23,EM,Apelskolan,,Obestämd,Obestämd,,,Okänd,3,"0,4",,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,86
87,2023-10-23,EM,Apelskolan,,Obestämd,Obestämd,,,Okänd,7,"1,6",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,87
88,2023-10-29,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,1,"0,4",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,88
89,2023-10-29,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,2,"0,4",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,89
90,2023-10-29,EM,Ark.utg.familj,,Nötkreatur (Bos taurus),Dens,I1-,Dexter,Tänder,1,"0,8",,,,,,,,,,,,,"Framtandsfragment frĺn nötkreatur, höger underkäke",,90
91,2023-10-29,EM,Ark.utg.familj,,Fĺr/get (Ovis/capra),Costa,Corpus,,Bĺl,1,"0,8",,,,,,,,,B,,,,"Fĺr/get revbensfragment, svartbränt",,91
92,2023-10-29,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,1,"1,5",,,,,,,,,R,,,,"Rödbrunbränt fragment, okänd art",,92
93,2023-10-29,EM,Ark.utg.familj,,Däggdjur (Mammalia),Cranium,,,Huvud,1,"2,8",,,,,,,,,,,,,Skalltakfragment frĺn okändt däggdjur,,93
94,2023-10-12,FM,Sätoftaskolan,5A+B,Obestämd,Obestämd,,,Okänd,2,"0,7",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,94
95,2023-10-12,FM,Sätoftaskolan,5A+B,Obestämd,Obestämd,,,Okänd,1,"0,3",,,,,,,,,B,,,,"Svartbränt tandfragment, okänd art",,95
96,2023-10-12,FM,Sätoftaskolan,5A+B,Obestämd,Obestämd,,,Okänd,6,"3,9",,,,,,,,,G,,,,"Grĺbrända fragment, okänd art",,96
97,2023-10-12,FM,Sätoftaskolan,5A+B,Obestämd,Obestämd,,,Okänd,12,"2,6",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,97
98,2023-10-12,FM,Sätoftaskolan,5A+B,Abborre (Perca fluviatilis),Squama,,,Okänd,1,<1,,,,,,,,,,,,,Fjäll frĺn aborre,,98
99,2023-10-12,FM,Sätoftaskolan,5A+B,Fĺr/get (Ovis/capra),Metapod,,,Nedre extremitet,1,"1,2",,U,,< 18-24 mĺ,,,,,,,,,Mellanhand/fotbensfragment frĺn juvenil fĺr/get,,99
100,2023-10-12,FM,Sätoftaskolan,5A+B,Idisslare (Ruminantia),Dens,M,,Tänder,1,"0,3",,,,,,,,,,,,,"Tandfragment frĺn idisslare, sannolikt fĺr/get molar",,100
101,2023-10-12,FM,Sätoftaskolan,5A+B,Däggdjur (Mammalia),Dentes,,,Tänder,4,"0,8",,,,,,,,,,,,,Obestämbara tandfragment,,101
102,2023-10-12,FM,Sätoftaskolan,5A+B,Svin (Sus sp.),Dens,M,,Tänder,1,"0,4",,,,,,,,,,,,,"Svintandfragment, molar",,102
103,2023-10-12,FM,Sätoftaskolan,5A+B,Svin (Sus sp.),Dens,Canine,,Tänder,1,"0,9",,,,,,,,,,,,,"Svinbetefragment, okänd sida, läge och kön",,103
104,2023-10-23,EM,Läredaskolan,,Obestämd,Obestämd,,,Okänd,1,"0,1",,,,,,,,,Y,,,,"Gulbränt fragment, okänd art",,104
105,2023-10-23,EM,Läredaskolan,,Obestämd,Obestämd,,,Okänd,1,1,,,,,,,,,R,,,,"Rödbrunbränt fragment, okänd art",,105
106,2023-10-23,EM,Läredaskolan,,Obestämd,Obestämd,,,Okänd,3,"0,4",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,106
107,2023-10-23,EM,Läredaskolan,,Obestämd,Obestämd,,,Okänd,1,"0,1",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,107
108,2023-10-23,EM,Läredaskolan,,Obestämd,Obestämd,,,Okänd,7,"1,1",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,108
109,2023-10-23,EM,Läredaskolan,,Däggdjur (Mammalia),Dentes,,,Tänder,4,"0,5",,,,,,,,,,,,,Obestämbara tandfragment,,109
110,2023-10-23,EM,Läredaskolan,,Idisslare (Ruminantia),Dentes,,,Tänder,2,"0,4",,,,,,,,,,,,,Tandfragment frĺn idisslare,,110
111,2023-10-23,EM,Läredaskolan,,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,9",,,,,,,,,B,,,,"Svartbränt tandfragment frĺn idisslare, sannolikt fĺr/get molar",,111
112,2023-09-30,EM,Ark.utg.familj,,Obestämd,Obestämd,,,Okänd,1,"0,3",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,112
113,2023-09-30,EM,Ark.utg.familj,,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,3",,,,,,,,,R,,,,"Rödbrunbränt tandfragment, okänd art",,113
114,2023-09-30,EM,Ark.utg.familj,,Svin (Sus sp.),Dens,Canine,,Tänder,1,"0,2",,,,,,,,,G,,,,"Grĺbränt svinbetefragment, okänd läge, sida och kön",,114
115,2023-09-18,EM,Ljungenskolan,,Obestämd,Os longum,Diafys,,Okänd,1,"6,6",,,,,,,,,R,,,,"Rödbrunbränt rörbensfragment, okänd art",,115
116,2023-09-18,EM,Ljungenskolan,,Obestämd,Obestämd,,,Okänd,1,"0,2",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,116
117,2023-09-18,EM,Ljungenskolan,,Obestämd,Obestämd,,,Okänd,8,"3,1",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,117
118,2023-09-18,EM,Ljungenskolan,,Däggdjur (Mammalia),Dentes,,,Tänder,4,"1,3",,,,,,,,,,,,,Obestämbara tandfragment,,118
119,2023-09-18,EM,Ljungenskolan,,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,7",,,,,,,,,,,,,Tandfragment frĺn idisslare,,119
120,2023-09-18,EM,Ljungenskolan,,Svin (Sus sp.),Dens,M,,Tänder,1,"0,9",,,,,,,,,,,,,Svinmolarfragment,,120
121,2023-09-18,EM,Ljungenskolan,,Fĺgel (Aves),Trachael ring,,,Bĺl,1,"<0,1","5,8",,,,,,,,,,,,Strupring (syrinx; röstorgan) frĺn liten fĺgel,,121
122,2023-09-18,EM,Ljungenskolan,,Fisk (Pisces),Radii branchiostegal,,,Huvud,1,"<0,1",,,,,,,,,,,,,Ben frĺn gälbĺgen av okänd fiskart,,122
123,2023-09-18,EM,Ljungenskolan,,Mus (Mus),Mandibula,"Corpus, ramus",Sinister,Huvud,1,"<0,1",,,,,,,,,,,,,Vänster underkäke frĺn mus,,123
124,2023-09-18,EM,Ljungenskolan,,Mus (Mus),Coxae,"Ilium, Ischium",Sinister,Övre extremitet,1,"<0,1",,,,,,,,,,,,,Vänster höftben frĺn mus,,124
125,2023-10-10,EM,Järnĺkraskolan,,Obestämd,Obestämd,,,Okänd,2,"1,3",,,,,,,,,R,,,,"Rödbrunbrända fragment, okänd art",,125
126,2023-10-10,EM,Järnĺkraskolan,,Obestämd,Obestämd,,,Okänd,1,"1,5",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,126
127,2023-10-10,EM,Järnĺkraskolan,,Obestämd,Obestämd,,,Okänd,1,"0,2",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,127
128,2023-10-10,EM,Järnĺkraskolan,,Obestämd,Obestämd,,,Okänd,5,"1,8",,,,,,,,,,,,,"Vitbrända fragment, okänd art",,128
129,2023-10-10,EM,Järnĺkraskolan,,Däggdjur (Mammalia),Dentes,,,Tänder,5,"1,1",,,,,,,,,,,,,Obestämbara tandfragment,,129
130,2023-10-10,EM,Järnĺkraskolan,,Idisslare (Ruminantia),Dentes,,,Tänder,5,6,,,,,,,,,,,,,Tandfragment frĺn idisslare,,130
131,2023-10-10,EM,Järnĺkraskolan,,Fĺr/get (Ovis/capra),Dens,M3-,Dexter,Tänder,1,"7,2",,,d,,,,,,,,,,Tredje molar frĺn fĺr/gets höger underkäke,,131
132,2023-10-10,EM,Järnĺkraskolan,,Svin (Sus sp.),Dens,M1-,Sinister,Tänder,1,"0,9",,,Inget slitage,Ej frambrutit,,,,,,,,,"Första molaren frĺn juvenil svins vänstra underkäke. Tanden har ingen slitage eller rot, ej brutit fram",,132
133,2023-10-10,EM,Järnĺkraskolan,,Svin (Sus sp.),Dens,M,,Tänder,1,"0,5",,,,,,,,,,,,,Svinmolarfragment,,133
134,2023-10-16,FM,Ljungenskolan,6A,Obestämd,Obestämd,,,Okänd,1,"0,1",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,134
135,2023-10-16,FM,Ljungenskolan,6A,Obestämd,Obestämd,,,Okänd,1,"0,3",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,135
136,2023-10-16,FM,Ljungenskolan,6A,Obestämd,Obestämd,,,Okänd,2,"0,5",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,136
137,2023-10-16,FM,Ljungenskolan,6A,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,7",,,,,,,,,,,,,Obestämbart tandfragment,,137
138,2023-10-16,FM,Ljungenskolan,6A,Fĺr/get (Ovis/capra),Dens,M1+,Sinister,Tänder,1,"1,7",,,,,,,,,,,,,Första molar frĺn fĺr/gets vänstra överkäke,,138
139,2023-05-02,FM,Antonskolan Österäng,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"2,2",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,139
140,2023-05-02,FM,Antonskolan Österäng,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,6",,,,,,,,,G,,,,"Grĺbränt fragment, okänd art",,140
141,2023-05-02,FM,Antonskolan Österäng,,Däggdjur (Mammalia),Obestämd,,,Okänd,2,"0,6",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,141
142,2023-05-02,FM,Antonskolan Österäng,,Svin (Sus sp.),Dens,I2-,Dexter,Tänder,1,"3,3",,,,,,,,,,,,,Andra framtand frĺn svins högra underkäke,,142
143,2023-05-02,FM,Antonskolan Österäng,,Svin (Sus sp.),"Mandibula, dens",M,,Tänder,1,"8,4",,,,,,,,,,,,,Underkäksfragment med molar frĺn svin. Okänd sida,,143
144,2023-05-02,FM,Antonskolan Österäng,,Fĺr/get (Ovis/capra),Dens,M2-,Sinister,Tänder,1,"4,8",,,d,,,,,,,,,,Andra molar frĺn fĺr/gets vänster underkäke,,144
145,2023-05-02,FM,Antonskolan Österäng,,Däggdjur (Mammalia),Cranium,,,Huvud,3,"10,1",,,,,,,,,,,,,Obestämbara skallfragment frĺn däggdjur,Möjligt bestämbar,145
