csvbase_row_id,Datum,Förmiddag / Eftermiddag,Skola / Grupp,Klass,Art,Element,Del,Sida,Region,Antal fragment,Vikt (g),Mĺtt (mm),Fusionering,Tandslitage ,Ĺlder,Kön,Weathering,Trampling,Gnag,Eldpĺverkan,Slaktspĺr,Bearbetning,Patologi,Kommentar,Övrigt,col26
4688,2025-08-30,FM,Ark.utg.familj,,Hjortdjur (Cervidae),Cornu,,,Huvud,1,"3,3",,,,,,,,,,S,Ja,,Bearbetat hornfragment frĺn hjortdjur,,4688
4689,2025-08-30,FM,Ark.utg.familj,,Däggdjur (Mammalia),Vertebra,Epifys,,Bĺl,1,"4,1",,U,,,,,,,,,,,Ledytefragment frĺn okänd arts kota. Troligen nötkreatur,,4689
4690,2025-08-30,FM,Ark.utg.familj,,Däggdjur (Mammalia),Scapula,"Margo lateralis, fossa infraspinosus",,Övre extremitet,1,"27,6",,,,,,,,,,H,,,"Skulderbladsfragment, kapad. Sannolikt nötkreatur",,4690
4691,2025-08-30,FM,Ark.utg.familj,,Däggdjur (Mammalia),Scapula,Spina scapulae,,Övre extremitet,1,"13,9",,,,,,,,,,H,,,"Skulderbladsfragment, kapad. Sannolikt svin",,4691
4692,2025-08-30,FM,Ark.utg.familj,,Svin (Sus sp.),"Os zygomaticum, Os temporale","Processus temporalis ossis zygomatici, Processus zygomaticus ossis temporalis",Sinister,Huvud,1,"6,6",,,,,,,,,,,,,Kindben frĺn svin,,4692
4693,2025-08-30,FM,Ark.utg.familj,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"3,6",,,,,,,,,,,,,Obestämbart fragment. Misstänker skallfragment,,4693
4694,2025-08-31,FM,Ark.utg.familj,,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,7",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4694
4695,2025-08-31,FM,Ark.utg.familj,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,9",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4695
4696,2025-08-31,FM,Ark.utg.familj,,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"1,7",,,,,,,,,,,,,Revbensfragment frĺn okänd art,,4696
4697,2025-08-31,FM,Ark.utg.familj,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"2,2",,,,,,,,,,H,,,Obestämbart fragment. Kapad,,4697
4698,2025-08-31,FM,Ark.utg.familj,,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"0,5",,,,,,2,,,,,,,Revbensfragment frĺn okänd art,,4698
4699,2025-08-31,FM,Ark.utg.familj,,Däggdjur (Mammalia),Cranium,,,Huvud,1,"0,3",,,,,,,,,,,,,Kraniefragment frĺn mindre djur. Misstänker tinningben,,4699
4700,2025-09-01,FM,Frostaskolan,5A+B,Idisslare (Ruminantia),Dentes,,,Tänder,2,"0,6",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4700
4701,2025-09-01,FM,Frostaskolan,5A+B,Svin (Sus sp.),Dens,PM,,Tänder,1,"0,3",,,,,,,,,,,,,Svinpremolarfragment,,4701
4702,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"2,1",,,,,,1,,,,,,,Obestämbart revbensfragment. Möjligen fĺr/get eller svin,,4702
4703,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"2,3",,,,,,,,,,H,,,Obestämbart fragment. Kapad,,4703
4704,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"4,5",,,,,,,,,,,,,Obestämbart fragment. Kapad,,4704
4705,2025-09-01,FM,Frostaskolan,5A+B,Fĺgel (Aves),Obestämd,,,Okänd,1,"0,1",,,,,,,,,,,,,Fragment av fĺgelben. Möjligen bröstben eller höftben,,4705
4706,2025-09-01,FM,Frostaskolan,5A+B,Fĺgel (Aves),Obestämd,,,Okänd,1,"0,1",,,,,,,,,,,,,Obestämbart fĺgelbensfragment,,4706
4707,2025-09-01,FM,Frostaskolan,5A+B,Nötkreatur (Bos taurus),Costa,Corpus,,Bĺl,1,"5,5",,,,,,1,,,,H,,,Revbensfragment frĺn nötkreatur. Hackspĺr,,4707
4708,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"3,8",,,,,,,,,,,,,Obestämbart fragment. Misstänker horn frĺn slidhornsdjur,,4708
